Gem variation: of Shrapnel (3.24)
Trap throw variance: 1.9
Enemy size: 3
Iterations: 50.000

3.26 / 5.42 / 7.65
3.53 / 5.92 / 8.38
3.77 / 6.39 / 9.09
4.02 / 6.87 / 9.86
4.27 / 7.39 / 10.59
4.54 / 7.87 / 11.34
4.78 / 8.36 / 12.03

3.70 / 6.25 / 8.88
3.95 / 6.76 / 9.64
4.24 / 7.28 / 10.44
4.51 / 7.80 / 11.21
4.76 / 8.35 / 12.01
5.04 / 8.85 / 12.78
5.30 / 9.40 / 13.60

4.15 / 7.12 / 10.17
4.43 / 7.66 / 11.00
4.72 / 8.24 / 11.86
5.00 / 8.79 / 12.67
5.29 / 9.32 / 13.52
5.56 / 9.91 / 14.33
5.86 / 10.46 / 15.18

4.32 / 7.45 / 10.70
4.62 / 8.04 / 11.56
4.92 / 8.64 / 12.45
5.21 / 9.23 / 13.33
5.52 / 9.80 / 14.19
5.81 / 10.37 / 15.08
6.12 / 11.00 / 15.97

4.79 / 8.39 / 12.11
5.11 / 9.03 / 13.00
5.43 / 9.62 / 13.96
5.75 / 10.26 / 14.89
6.07 / 10.89 / 15.83
6.37 / 11.48 / 16.75
6.69 / 12.10 / 17.62

4.96 / 8.74 / 12.62
5.29 / 9.39 / 13.62
5.63 / 10.04 / 14.56
5.98 / 10.68 / 15.50
6.30 / 11.35 / 16.49
6.63 / 11.97 / 17.44
6.96 / 12.60 / 18.40
