Gem variation: normal (wall dps)
Trap throw variance: 1.9
Enemy size: 3
Iterations: 50.000

7.60 / 11.60 / 16.90
8.30 / 12.80 / 18.80
9.00 / 14.00 / 20.50
9.80 / 15.20 / 22.30
10.50 / 16.40 / 24.00
11.20 / 17.60 / 25.80
11.90 / 18.70 / 27.60

8.30 / 13.20 / 19.30
9.10 / 14.50 / 21.20
9.80 / 15.70 / 23.00
10.50 / 16.90 / 24.80
11.30 / 18.10 / 26.70
12.00 / 19.30 / 28.50
12.70 / 20.60 / 30.30

9.10 / 14.80 / 21.70
9.80 / 16.10 / 23.60
10.50 / 17.30 / 25.50
11.30 / 18.60 / 27.40
12.00 / 19.80 / 29.30
12.70 / 21.10 / 31.20
13.50 / 22.30 / 33.00

9.10 / 15.20 / 22.20
9.80 / 16.40 / 24.20
10.60 / 17.70 / 26.00
11.30 / 19.00 / 28.00
12.00 / 20.30 / 29.90
12.80 / 21.60 / 31.90
13.50 / 22.90 / 33.80

9.80 / 16.70 / 24.60
10.60 / 18.00 / 26.50
11.30 / 19.40 / 28.50
12.00 / 20.70 / 30.50
12.80 / 21.90 / 32.50
13.50 / 23.30 / 34.40
14.20 / 24.60 / 36.40

9.80 / 17.00 / 25.00
10.60 / 18.30 / 27.00
11.30 / 19.70 / 29.00
12.10 / 21.00 / 31.00
12.80 / 22.30 / 33.00
13.50 / 23.60 / 35.00
14.30 / 25.00 / 37.00
