Gem variation: of Shrapnel (3.23)
Trap throw variance: 1.9
Enemy size: 3
Iterations: 50.000

4.10 / 7.07 / 10.10
4.46 / 7.73 / 11.11
4.80 / 8.41 / 12.11
5.14 / 9.08 / 13.14
5.48 / 9.76 / 14.12
5.83 / 10.42 / 15.12
6.19 / 11.10 / 16.15

4.59 / 8.00 / 11.50
4.96 / 8.71 / 12.55
5.30 / 9.40 / 13.61
5.66 / 10.10 / 14.68
6.02 / 10.80 / 15.71
6.37 / 11.50 / 16.73
6.76 / 12.20 / 17.80

5.09 / 8.97 / 12.98
5.46 / 9.72 / 14.08
5.85 / 10.43 / 15.15
6.20 / 11.16 / 16.21
6.58 / 11.89 / 17.33
6.97 / 12.60 / 18.41
7.31 / 13.33 / 19.54

5.23 / 9.25 / 13.38
5.62 / 10.01 / 14.51
6.00 / 10.75 / 15.64
6.38 / 11.53 / 16.76
6.78 / 12.24 / 17.89
7.16 / 13.01 / 19.01
7.53 / 13.76 / 20.13

5.77 / 10.28 / 14.92
6.17 / 11.06 / 16.10
6.56 / 11.82 / 17.26
6.96 / 12.62 / 18.42
7.37 / 13.38 / 19.59
7.74 / 14.15 / 20.72
8.14 / 14.95 / 21.93

5.91 / 10.58 / 15.34
6.33 / 11.38 / 16.54
6.73 / 12.16 / 17.74
7.13 / 12.98 / 18.97
7.53 / 13.79 / 20.14
7.95 / 14.56 / 21.35
8.37 / 15.37 / 22.55
